"row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"THAP9-AS1",82.7137860446488,0.61515134255328,0.168676775821907,3.64692376621409,0.00026539862105809,0.0460296480214595
"CTTNBP2",278.742013603537,0.612644107763267,0.156152539231161,3.92336948716752,8.73190774714885e-05,0.0268466472735067
"SCD",4929.51885110851,0.563270641275987,0.146517014256476,3.84440431122894,0.000120845626840296,0.0288653798798285
"ZNF761",189.329430570381,0.456241530998709,0.121974517030272,3.74046597688498,0.000183679409661459,0.0360118123753655
"CFAP126",150.516524419163,0.427735000433436,0.115191692850346,3.71324519893233,0.000204618465508495,0.0385007498210618
"ZNF84",325.708264832809,0.418650032955782,0.11174984773368,3.74631412432437,0.000179451858648093,0.0357003638792853
"G2E3",209.15372386714,0.343879296172063,0.0934290202503291,3.68064756807563,0.000232642373886079,0.0425295409990659
"SLC33A1",483.878646825855,0.33518311050786,0.0721384916122854,4.64638368527763,3.37804456450496e-06,0.0065283124098033
"SLC2A10",431.387930820316,0.307757340959114,0.0832474380497788,3.69689864539839,0.000218249426292128,0.0404449073819165
"SNX29",981.246335580422,0.271563564155337,0.0664090006437979,4.08925840658166,4.32754539582324e-05,0.0201872531429989
"ACAP2",660.190735238321,0.257562443828196,0.0714104054013697,3.60679150861193,0.000310006550974808,0.0493384543716141
"SSR1",1251.75851305699,0.239076703457899,0.0538729531340581,4.4377872299478,9.08883946813546e-06,0.0111776200295397
"TTC3P1",601.347506899836,0.238825760526329,0.0634055998383586,3.76663514161483,0.000165462536265104,0.0339148059180958
"CFL1",1419.03914445879,-0.25199899774475,0.051992265011124,-4.84685554073925,1.2543369359337e-06,0.0065283124098033
"IPO4",465.332221325068,-0.296042128935719,0.0739765585255037,-4.00183699859,6.28525941272154e-05,0.0242934255243706
"BCAR1",1500.20250750623,-0.303508146728493,0.0650354823147681,-4.6668085778088,3.05914081895334e-06,0.0065283124098033
"VASP",826.818884874057,-0.373932676198698,0.094883845788679,-3.94095194066548,8.11588869642492e-05,0.0268466472735067
"DUSP1",1054.10946812106,-0.441097558198619,0.118277236714617,-3.72935292073919,0.000191972120463226,0.0370999835089504
"EXOSC6",153.262652853201,-0.447567530190999,0.123393350826302,-3.62716084127604,0.00028655480520908,0.0488289331175845
"EPHA2",810.091868235912,-0.513703419397647,0.109217727648307,-4.7034801992203,2.55763911085199e-06,0.0065283124098033
"RAB24",124.646212179479,-0.544365653474143,0.138315889686934,-3.93566968123667,8.29650210598983e-05,0.0268466472735067
"PARP1P1",253.070747763055,-0.5608879545202,0.131805887339882,-4.25540896419797,2.08667254459035e-05,0.0161174159619346
"ZNF503-AS2",78.6269957305961,-1.33182433110045,0.367381344574747,-3.62518225480957,0.000288757735763362,0.0488289331175845
"CLIP3",283.136545389828,-1.36268645959294,0.376412808303243,-3.62019152784817,0.000294385025530693,0.0491659336466569
"S100A4",118.994459824004,-1.75200679655363,0.441536091690683,-3.96798094091252,7.24841291661259e-05,0.0258043499831408
"CYP17A1",97.8894878377083,-2.24446897061391,0.589004757944883,-3.81061263145847,0.000138622836849673,0.0307424547033178
"ACAN",59.1630733250758,-2.60578821750925,0.688862344807742,-3.7827415551891,0.000155110444432429,0.0332940394863603
"KCNJ15",244.454009690811,-2.82084190399604,0.729937376594728,-3.8644985096608,0.000111317669657419,0.0282274923534507
"CYP26B1",726.902246638735,-2.82086368932517,0.730600470323285,-3.8610209052794,0.000112914240846509,0.0282274923534507
"AMPH",54.8758484563171,-2.95379521812549,0.80418457747124,-3.6730314170084,0.000239690001062971,0.0425680477020445
"CA5B",990.997783539524,-2.96312830653178,0.807332188416734,-3.67027148061914,0.000242292997712702,0.0425680477020445
"LINC02397",42.321398124235,-3.04308691544416,0.768689475320766,-3.95879872581098,7.53276828964994e-05,0.0261290485698422
"OLFM1",278.248613195168,-3.21761671694742,0.891330787435128,-3.60990191554625,0.000306312811550006,0.0493384543716141
"GCNT2",80.470040569244,-3.21914673304834,0.846422617184128,-3.80323808425367,0.000142816978324937,0.0311617432706411
"ARSJ",273.368061700674,-3.39179555575526,0.942446679877411,-3.59892567736187,0.000319534485991922,0.0496857761666519
"RUNDC3A",235.716929014348,-3.4799336229917,0.924942310921163,-3.7623250465491,0.000168341063806112,0.0339898195696877
"NFASC",253.582154892823,-3.59625015152773,0.978588756404669,-3.67493508176033,0.000237909899891944,0.0425680477020445
"HSPA2",1507.73067933609,-3.63040405183403,0.941238095450159,-3.85705175914893,0.000114762868083958,0.0282274923534507
"SYP",421.802789091647,-3.79763226936132,0.992469679491763,-3.82644663896036,0.000130006314969463,0.0293120904817816
"DLG2",439.775907496618,-3.81067950991103,0.971135518782708,-3.92394206185314,8.71116939195433e-05,0.0268466472735067
"DPP4",1353.35945460832,-3.89142420259532,0.979736195891106,-3.97191021309152,7.12985947084114e-05,0.0258043499831408
"NMNAT2",748.817780333446,-3.96714485436867,0.994381236395645,-3.98956125595095,6.6195623205699e-05,0.0248748441868527
"VCAM1",146.37766689737,-3.97935295209387,1.01821159659388,-3.90817877679413,9.29944845295698e-05,0.0273236867024544
"MAOB",178.945930308247,-4.02295411975112,1.03542489030422,-3.8853171846865,0.000102196372615684,0.0273236867024544
"LINC03002",101.054297421924,-4.0483972650502,1.05785169465856,-3.82699889359907,0.000129715097654095,0.0293120904817816
"CLTRN",290.426068837263,-4.08274872936983,1.00453969301166,-4.06429806385204,4.81772282988371e-05,0.0203669232633334
"CD24P4",303.369005085283,-4.2466000570838,1.09352847303093,-3.88339230464985,0.000103009167787195,0.0273236867024544
"GPX2",86.2624142531358,-4.25858103850258,1.14697447452337,-3.71288213739218,0.000204912329029897,0.0385007498210618
